    0.00 
    0.20 V
      frequency    real         imag
      250.00    -0.0002783    -0.0008617
      250.01    -0.0001902    -0.0008999
      250.02    -0.0002203    -0.0008601
      250.03    -0.0002984    -0.0008654
      250.04    -0.0002239    -0.0008912
      250.06    -0.0001083    -0.0008430
      250.07    -0.0000607    -0.0009244
      250.08    -0.0003864    -0.0007807
      250.09    -0.0000818    -0.0008455
      250.10    -0.0001557    -0.0007750
      250.11    -0.0001994    -0.0008910
      250.12    -0.0002669    -0.0009875
      250.13    -0.0002416    -0.0009192
      250.14    -0.0001409    -0.0009006
      250.15    -0.0002057    -0.0009934
      250.17    -0.0002543    -0.0007544
      250.18    -0.0002192    -0.0009500
      250.19    -0.0001293    -0.0008140
      250.20    -0.0002718    -0.0008476
      250.21    -0.0001481    -0.0009220
      250.22    -0.0002193    -0.0009478
      250.23    -0.0004227    -0.0009313
      250.24    -0.0001679    -0.0008555
      250.25    -0.0003168    -0.0008301
      250.26    -0.0001426    -0.0006984
      250.28    -0.0002258    -0.0008686
      250.29    -0.0002070    -0.0007057
      250.30    -0.0002244    -0.0006476
      250.31    -0.0004083    -0.0008049
      250.32    -0.0003104    -0.0008332
      250.33    -0.0001312    -0.0008666
      250.34    -0.0002135    -0.0007955
      250.35    -0.0002749    -0.0007749
      250.36    -0.0001884    -0.0008742
      250.37    -0.0002463    -0.0008164
      250.39    -0.0001837    -0.0008152
      250.40    -0.0002207    -0.0006540
      250.41    -0.0003133    -0.0009033
      250.42    -0.0001531    -0.0008080
      250.43    -0.0003105    -0.0009629
      250.44    -0.0002826    -0.0009011
      250.45    -0.0002082    -0.0009241
      250.46    -0.0000826    -0.0009578
      250.47    -0.0004195    -0.0007505
      250.48    -0.0002370    -0.0008495
      250.50    -0.0002121    -0.0009274
      250.51    -0.0001407    -0.0008478
      250.52    -0.0002259    -0.0008093
      250.53    -0.0002797    -0.0006975
      250.54    -0.0003720    -0.0008490
      250.55    -0.0001934    -0.0007363
      250.56    -0.0003886    -0.0008199
      250.57    -0.0002122    -0.0007532
      250.58    -0.0001814    -0.0009238
      250.59    -0.0004116    -0.0008008
      250.61    -0.0000773    -0.0008126
      250.62    -0.0002999    -0.0009561
      250.63    -0.0002725    -0.0008888
      250.64    -0.0002920    -0.0007787
      250.65    -0.0003029    -0.0008289
      250.66    -0.0002745    -0.0007124
      250.67    -0.0002944    -0.0008658
      250.68    -0.0003034    -0.0007922
      250.69    -0.0003564    -0.0006932
      250.70    -0.0002554    -0.0008471
      250.72    -0.0001784    -0.0008378
      250.73    -0.0002219    -0.0009031
      250.74    -0.0002204    -0.0008981
      250.75    -0.0002009    -0.0007352
      250.76    -0.0002190    -0.0008651
      250.77    -0.0001881    -0.0007780
      250.78    -0.0004527    -0.0008289
      250.79    -0.0002909    -0.0008319
      250.80    -0.0002964    -0.0009766
      250.81    -0.0002966    -0.0006234
      250.83    -0.0002053    -0.0008571
      250.84    -0.0002774    -0.0009743
      250.85    -0.0001232    -0.0008118
      250.86    -0.0003323    -0.0008525
      250.87    -0.0003170    -0.0006942
      250.88    -0.0002208    -0.0008085
      250.89    -0.0001840    -0.0007569
      250.90    -0.0002470    -0.0008456
      250.91    -0.0003691    -0.0008613
      250.92    -0.0002525    -0.0009039
      250.94    -0.0002941    -0.0008026
      250.95    -0.0002045    -0.0009268
      250.96    -0.0002981    -0.0007866
      250.97    -0.0002225    -0.0008674
      250.98    -0.0002134    -0.0008463
      250.99    -0.0003682    -0.0007564
      251.00    -0.0002910    -0.0008757
      251.01    -0.0002775    -0.0007849
      251.02    -0.0001113    -0.0007649
      251.03    -0.0003618    -0.0010433
      251.05    -0.0002308    -0.0008279
      251.06    -0.0002867    -0.0006992
      251.07    -0.0003682    -0.0008367
      251.08    -0.0000998    -0.0008321
      251.09    -0.0001249    -0.0009698
      251.10    -0.0003800    -0.0006857
      251.11    -0.0003893    -0.0008041
      251.12    -0.0004116    -0.0007809
      251.13    -0.0002780    -0.0006547
      251.14    -0.0003917    -0.0008704
      251.16    -0.0002124    -0.0009502
      251.17    -0.0003180    -0.0008233
      251.18    -0.0003724    -0.0007321
      251.19    -0.0000990    -0.0009199
      251.20    -0.0001944    -0.0008495
      251.21    -0.0002451    -0.0007355
      251.22    -0.0000930    -0.0007727
      251.23    -0.0003776    -0.0009480
      251.24    -0.0001563    -0.0009031
      251.25    -0.0002333    -0.0008763
      251.27    -0.0003018    -0.0008635
      251.28    -0.0003717    -0.0007747
      251.29    -0.0002880    -0.0009228
      251.30    -0.0002527    -0.0007027
      251.31    -0.0003763    -0.0009191
      251.32    -0.0001879    -0.0006985
      251.33    -0.0001098    -0.0008556
      251.34    -0.0003752    -0.0007813
      251.35    -0.0003428    -0.0008811
      251.36    -0.0001861    -0.0008815
      251.38    -0.0002877    -0.0006269
      251.39    -0.0003639    -0.0008971
      251.40    -0.0002574    -0.0006972
      251.41    -0.0002468    -0.0008154
      251.42    -0.0002147    -0.0008093
      251.43    -0.0003633    -0.0008348
      251.44    -0.0003858    -0.0008245
      251.45    -0.0002409    -0.0007598
      251.46    -0.0004887    -0.0008644
      251.47    -0.0002550    -0.0006743
      251.49    -0.0003786    -0.0009401
      251.50    -0.0002954    -0.0009320
      251.51    -0.0002762    -0.0007343
      251.52    -0.0004814    -0.0008278
      251.53    -0.0001167    -0.0007328
      251.54    -0.0003615    -0.0008060
      251.55    -0.0002852    -0.0007135
      251.56    -0.0002374    -0.0008348
      251.57    -0.0003031    -0.0008540
      251.58    -0.0001259    -0.0007081
      251.60    -0.0002475    -0.0008926
      251.61    -0.0002494    -0.0008472
      251.62    -0.0002782    -0.0008525
      251.63    -0.0002102    -0.0009177
      251.64    -0.0001942    -0.0008294
      251.65    -0.0004135    -0.0007801
      251.66    -0.0004228    -0.0008491
      251.67    -0.0002780    -0.0008192
      251.68    -0.0001840    -0.0009412
      251.69    -0.0002610    -0.0007744
      251.71    -0.0001898    -0.0007618
      251.72    -0.0003833    -0.0007621
      251.73    -0.0002813    -0.0006591
      251.74    -0.0004039    -0.0008164
      251.75    -0.0002480    -0.0008634
      251.76    -0.0003252    -0.0007841
      251.77    -0.0000126    -0.0006590
      251.78    -0.0001204    -0.0008698
      251.79    -0.0002526    -0.0008043
      251.80    -0.0003903    -0.0008185
      251.82    -0.0002905    -0.0008196
      251.83    -0.0001693    -0.0008733
      251.84    -0.0000818    -0.0006836
      251.85    -0.0002858    -0.0008095
      251.86    -0.0002903    -0.0009393
      251.87    -0.0001847    -0.0009308
      251.88    -0.0003566    -0.0007784
      251.89    -0.0002277    -0.0008419
      251.90    -0.0002133    -0.0008818
      251.91    -0.0002375    -0.0007440
      251.93    -0.0001689    -0.0007115
      251.94    -0.0002896    -0.0008639
      251.95    -0.0001901    -0.0007358
      251.96    -0.0002892    -0.0007152
      251.97    -0.0002588    -0.0006667
      251.98    -0.0002890    -0.0008267
      251.99    -0.0004314    -0.0007413
      252.00    -0.0003560    -0.0007835
      252.01    -0.0001694    -0.0007996
      252.02    -0.0002082    -0.0007519
      252.04    -0.0001045    -0.0006991
      252.05    -0.0002252    -0.0008727
      252.06    -0.0002932    -0.0006900
      252.07    -0.0002423    -0.0008012
      252.08    -0.0001532    -0.0007736
      252.09    -0.0002989    -0.0008584
      252.10    -0.0003287    -0.0008488
      252.11    -0.0002102    -0.0008171
      252.12    -0.0001825    -0.0007111
      252.13    -0.0000939    -0.0008530
      252.15    -0.0002465    -0.0007923
