frequency    real         imag
      220.00     0.0003169     0.0005666
      220.03     0.0003599     0.0006719
      220.05     0.0002430     0.0006429
      220.08     0.0004502     0.0005442
      220.10     0.0003850     0.0004733
      220.13     0.0003139     0.0006641
      220.15     0.0002882     0.0007718
      220.18     0.0003001     0.0004637
      220.20     0.0004699     0.0006107
      220.23     0.0004924     0.0006210
      220.25     0.0002577     0.0007940
      220.28     0.0003365     0.0005970
      220.30     0.0004794     0.0006608
      220.33     0.0002718     0.0004936
      220.35     0.0004804     0.0006047
      220.38     0.0003551     0.0004967
      220.40     0.0005009     0.0005043
      220.43     0.0003160     0.0005356
      220.45     0.0005466     0.0005483
      220.48     0.0003232     0.0005598
      220.50     0.0002251     0.0005808
      220.53     0.0002825     0.0006356
      220.55     0.0003620     0.0006005
      220.58     0.0003902     0.0007039
      220.60     0.0003580     0.0005261
      220.63     0.0003365     0.0005525
      220.66     0.0002391     0.0007802
      220.68     0.0003586     0.0005428
      220.71     0.0004247     0.0005114
      220.73     0.0004264     0.0005739
      220.76     0.0003907     0.0004692
      220.78     0.0004566     0.0008076
      220.81     0.0006355     0.0004713
      220.83     0.0003727     0.0005458
      220.86     0.0005561     0.0005850
      220.88     0.0004425     0.0006267
      220.91     0.0004625     0.0005005
      220.93     0.0003572     0.0005572
      220.96     0.0005878     0.0006794
      220.98     0.0004957     0.0006493
      221.01     0.0003267     0.0006778
      221.03     0.0003284     0.0005344
      221.06     0.0004156     0.0006493
      221.08     0.0005908     0.0005707
      221.11     0.0005585     0.0005791
      221.13     0.0002307     0.0004905
      221.16     0.0003568     0.0005840
      221.18     0.0004731     0.0006536
      221.21     0.0002700     0.0005607
      221.23     0.0005053     0.0006381
      221.26     0.0003742     0.0005780
      221.29     0.0004086     0.0006035
      221.31     0.0004807     0.0006875
      221.34     0.0004770     0.0005830
      221.36     0.0002683     0.0006368
      221.39     0.0005119     0.0006727
      221.41     0.0004899     0.0005668
      221.44     0.0005727     0.0006894
      221.46     0.0003392     0.0006829
      221.49     0.0006024     0.0004746
      221.51     0.0003405     0.0006247
      221.54     0.0003968     0.0006272
      221.56     0.0004474     0.0007007
      221.59     0.0004269     0.0006081
      221.61     0.0003780     0.0006168
      221.64     0.0003741     0.0006563
      221.66     0.0005647     0.0005620
      221.69     0.0004455     0.0006804
      221.71     0.0004490     0.0005885
      221.74     0.0005761     0.0006910
      221.76     0.0004047     0.0005839
      221.79     0.0004476     0.0006140
      221.81     0.0003741     0.0006737
      221.84     0.0003857     0.0005457
      221.86     0.0004184     0.0007283
      221.89     0.0003365     0.0008123
      221.92     0.0005495     0.0006625
      221.94     0.0005048     0.0006838
      221.97     0.0005103     0.0005504
      221.99     0.0006462     0.0005618
      222.02     0.0005142     0.0006109
      222.04     0.0004616     0.0006580
      222.07     0.0004627     0.0006410
      222.09     0.0004482     0.0007454
      222.12     0.0005335     0.0007234
      222.14     0.0005738     0.0006129
      222.17     0.0005696     0.0007346
      222.19     0.0005631     0.0006087
      222.22     0.0003714     0.0006435
      222.24     0.0005463     0.0007079
      222.27     0.0006924     0.0007484
      222.29     0.0005602     0.0005614
      222.32     0.0007640     0.0008711
      222.34     0.0005101     0.0006213
      222.37     0.0005386     0.0007079
      222.39     0.0006043     0.0007408
      222.42     0.0005690     0.0006881
      222.44     0.0006068     0.0007202
      222.47     0.0005426     0.0006849
      222.50     0.0006743     0.0006397
      222.52     0.0006463     0.0007388
      222.55     0.0006763     0.0007466
      222.57     0.0007361     0.0008027
      222.60     0.0006151     0.0007496
      222.62     0.0006399     0.0008636
      222.65     0.0005036     0.0006360
      222.67     0.0006328     0.0008905
      222.70     0.0004706     0.0008654
      222.72     0.0005145     0.0008079
      222.75     0.0005563     0.0006601
      222.77     0.0006515     0.0007848
      222.80     0.0007103     0.0007843
      222.82     0.0007911     0.0008233
      222.85     0.0005844     0.0008134
      222.87     0.0006377     0.0008351
      222.90     0.0006616     0.0006943
      222.92     0.0006977     0.0007037
      222.95     0.0007436     0.0007729
      222.97     0.0007628     0.0007088
      223.00     0.0007136     0.0006713
      223.02     0.0006955     0.0006949
      223.05     0.0007606     0.0008742
      223.07     0.0006743     0.0006498
      223.10     0.0007970     0.0006464
      223.13     0.0006493     0.0007662
      223.15     0.0007161     0.0007258
      223.18     0.0008216     0.0006534
      223.20     0.0006298     0.0008054
      223.23     0.0007652     0.0006790
      223.25     0.0009175     0.0006965
      223.28     0.0008146     0.0007353
      223.30     0.0008979     0.0006119
      223.33     0.0007230     0.0007516
      223.35     0.0007138     0.0007063
      223.38     0.0008009     0.0006905
      223.40     0.0009032     0.0007830
      223.43     0.0007114     0.0006412
      223.45     0.0007258     0.0007372
      223.48     0.0008743     0.0008359
      223.50     0.0007728     0.0006439
      223.53     0.0007923     0.0007868
      223.55     0.0008989     0.0006277
      223.58     0.0007892     0.0006891
      223.60     0.0007458     0.0007551
      223.63     0.0009064     0.0007557
      223.65     0.0008883     0.0008546
      223.68     0.0007829     0.0007775
      223.70     0.0007083     0.0007375
      223.73     0.0007870     0.0007834
      223.76     0.0008112     0.0007432
      223.78     0.0008023     0.0006991
      223.81     0.0008605     0.0006796
      223.83     0.0008867     0.0007818
      223.86     0.0007592     0.0007800
      223.88     0.0008559     0.0008234
      223.91     0.0008110     0.0006635
      223.93     0.0009731     0.0007503
      223.96     0.0007480     0.0006198
      223.98     0.0008580     0.0005886
      224.01     0.0007932     0.0006908
      224.03     0.0010468     0.0008062
      224.06     0.0008773     0.0007173
      224.08     0.0009522     0.0006994
      224.11     0.0008501     0.0007696
      224.13     0.0009062     0.0006631
      224.16     0.0008203     0.0006079
      224.18     0.0010707     0.0005811
      224.21     0.0010346     0.0008033
      224.23     0.0008867     0.0006423
      224.26     0.0010419     0.0006382
      224.28     0.0009714     0.0007517
      224.31     0.0008392     0.0006603
      224.33     0.0009652     0.0007777
      224.36     0.0010351     0.0007499
      224.39     0.0010594     0.0007324
      224.41     0.0009349     0.0006896
      224.44     0.0010788     0.0006892
      224.46     0.0010304     0.0006462
      224.49     0.0009233     0.0006324
      224.51     0.0008989     0.0006858
      224.54     0.0010726     0.0005833
      224.56     0.0009823     0.0006472
      224.59     0.0010513     0.0005458
      224.61     0.0010999     0.0005552
      224.64     0.0010769     0.0006796
      224.66     0.0009511     0.0005542
      224.69     0.0009225     0.0005292
      224.71     0.0009630     0.0006951
      224.74     0.0009059     0.0007796
      224.76     0.0009170     0.0006184
      224.79     0.0009032     0.0006347
      224.81     0.0009816     0.0006787
      224.84     0.0010071     0.0006312
      224.86     0.0009001     0.0008558
      224.89     0.0008499     0.0005387
      224.91     0.0009590     0.0007702
      224.94     0.0010326     0.0007662
      224.96     0.0010837     0.0005760
      224.99     0.0011920     0.0007718
      225.02     0.0010516     0.0006694
      225.04     0.0010654     0.0006318
      225.07     0.0009527     0.0005734
      225.09     0.0009908     0.0006379
      225.12     0.0011718     0.0007491
      225.14     0.0010971     0.0007194
      225.17     0.0009066     0.0005702
      225.19     0.0010985     0.0005847
      225.22     0.0010685     0.0007761
      225.24     0.0011497     0.0005067
      225.27     0.0012144     0.0007051
      225.29     0.0012701     0.0006479
      225.32     0.0009746     0.0006578
      225.34     0.0009670     0.0005746
      225.37     0.0013049     0.0005416
      225.39     0.0011617     0.0006944
      225.42     0.0010746     0.0003846
      225.44     0.0010657     0.0007349
      225.47     0.0010671     0.0004545
      225.49     0.0011901     0.0006227
      225.52     0.0010388     0.0006318
      225.54     0.0012277     0.0005517
      225.57     0.0011728     0.0004950
      225.59     0.0010627     0.0006409
      225.62     0.0012362     0.0006047
      225.65     0.0012371     0.0007926
      225.67     0.0011862     0.0006966
      225.70     0.0011454     0.0006237
      225.72     0.0011507     0.0007580
      225.75     0.0012533     0.0006223
      225.77     0.0010187     0.0006050
      225.80     0.0012300     0.0006566
      225.82     0.0013250     0.0006561
      225.85     0.0013054     0.0007235
      225.87     0.0011526     0.0006149
      225.90     0.0012652     0.0005886
      225.92     0.0011914     0.0004453
      225.95     0.0011690     0.0005253
      225.97     0.0013108     0.0005049
      226.00     0.0010631     0.0006293
      226.02     0.0011457     0.0005367
      226.05     0.0011726     0.0007359
      226.07     0.0011420     0.0006005
      226.10     0.0012218     0.0005693
      226.12     0.0012437     0.0005918
      226.15     0.0013226     0.0006737
      226.17     0.0012924     0.0005618
      226.20     0.0011783     0.0006036
      226.23     0.0012669     0.0006773
      226.25     0.0011779     0.0005942
      226.28     0.0013581     0.0007302
      226.30     0.0012693     0.0006641
      226.33     0.0012467     0.0006307
      226.35     0.0013514     0.0005586
      226.38     0.0013026     0.0006683
      226.40     0.0013616     0.0005934
      226.43     0.0013946     0.0006724
      226.45     0.0013726     0.0006406
      226.48     0.0013048     0.0006906
      226.50     0.0012114     0.0005607
      226.53     0.0014894     0.0006589
      226.55     0.0013061     0.0006677
      226.58     0.0015421     0.0004690
      226.60     0.0014237     0.0007817
      226.63     0.0013631     0.0006901
      226.65     0.0015278     0.0006062
      226.68     0.0015200     0.0007718
      226.70     0.0016046     0.0007824
      226.73     0.0014090     0.0007556
      226.75     0.0015058     0.0006797
      226.78     0.0014653     0.0007484
      226.80     0.0012758     0.0006388
      226.83     0.0014979     0.0006244
      226.86     0.0015854     0.0007724
      226.88     0.0015466     0.0006633
      226.91     0.0015966     0.0006412
      226.93     0.0014515     0.0006678
      226.96     0.0014425     0.0006658
      226.98     0.0016447     0.0007875
      227.01     0.0016879     0.0006471
      227.03     0.0014586     0.0006114
      227.06     0.0015360     0.0006286
      227.08     0.0016235     0.0005804
      227.11     0.0015464     0.0007591
      227.13     0.0017346     0.0007645
      227.16     0.0017546     0.0007655
      227.18     0.0018771     0.0005506
      227.21     0.0016781     0.0005282
      227.23     0.0017625     0.0006335
      227.26     0.0017323     0.0007154
      227.28     0.0018578     0.0008113
      227.31     0.0017981     0.0005931
      227.33     0.0018819     0.0005089
      227.36     0.0019923     0.0006044
      227.38     0.0017863     0.0006298
      227.41     0.0017384     0.0005341
      227.43     0.0018025     0.0006346
      227.46     0.0016503     0.0006213
      227.49     0.0018079     0.0006580
      227.51     0.0018397     0.0005916
      227.54     0.0019837     0.0005080
      227.56     0.0017737     0.0006228
      227.59     0.0018363     0.0004590
      227.61     0.0018768     0.0007018
      227.64     0.0018751     0.0004762
      227.66     0.0020292     0.0005351
      227.69     0.0019484     0.0005196
      227.71     0.0019011     0.0006174
      227.74     0.0021030     0.0005225
      227.76     0.0019671     0.0004587
      227.79     0.0019687     0.0003041
      227.81     0.0020895     0.0003559
      227.84     0.0020113     0.0004174
      227.86     0.0020213     0.0003962
      227.89     0.0020931     0.0004211
      227.91     0.0020369     0.0001957
      227.94     0.0021248     0.0003285
      227.96     0.0020759     0.0003419
      227.99     0.0022083     0.0005170
      228.01     0.0020518     0.0003347
      228.04     0.0021878     0.0002822
      228.06     0.0020454     0.0003211
      228.09     0.0021054     0.0002950
      228.12     0.0021975     0.0003929
      228.14     0.0022755     0.0001981
      228.17     0.0022547     0.0002345
      228.19     0.0020612     0.0001300
      228.22     0.0021159     0.0002215
      228.24     0.0021719     0.0002524
      228.27     0.0021411     0.0001742
      228.29     0.0021804     0.0003161
      228.32     0.0021053     0.0000441
      228.34     0.0023153     0.0000401
      228.37     0.0021874     0.0002038
      228.39     0.0023933     0.0001018
      228.42     0.0022441     0.0000534
      228.44     0.0022258    -0.0000845
      228.47     0.0022844     0.0001748
      228.49     0.0023284     0.0000585
      228.52     0.0022546     0.0000857
      228.54     0.0022455     0.0001044
      228.57     0.0024238     0.0000449
      228.59     0.0022057     0.0000526
      228.62     0.0023005     0.0000583
      228.64     0.0022385     0.0000002
      228.67     0.0022215     0.0000471
      228.69     0.0022816     0.0001428
      228.72     0.0022035    -0.0000893
      228.75     0.0023086     0.0000274
      228.77     0.0023776    -0.0000126
      228.80     0.0023111    -0.0001519
      228.82     0.0024365    -0.0000405
      228.85     0.0024137    -0.0002262
      228.87     0.0023748    -0.0001131
      228.90     0.0025270    -0.0000945
      228.92     0.0025276    -0.0002835
      228.95     0.0024505    -0.0002475
      228.97     0.0024447    -0.0001402
      229.00     0.0024092    -0.0000222
      229.02     0.0022545    -0.0003505
      229.05     0.0025012    -0.0001560
      229.07     0.0023886    -0.0002201
      229.10     0.0023228    -0.0002218
      229.12     0.0025885    -0.0002896
      229.15     0.0024038    -0.0002924
      229.17     0.0026255    -0.0003517
      229.20     0.0023121    -0.0003770
      229.22     0.0023904    -0.0002383
      229.25     0.0025489    -0.0003248
      229.27     0.0024922    -0.0002648
      229.30     0.0023446    -0.0003577
      229.32     0.0025246    -0.0005061
      229.35     0.0025381    -0.0004226
      229.38     0.0025042    -0.0004694
      229.40     0.0024816    -0.0006473
      229.43     0.0025276    -0.0003800
      229.45     0.0025238    -0.0004666
      229.48     0.0025421    -0.0004777
      229.50     0.0024813    -0.0004936
      229.53     0.0025479    -0.0005191
      229.55     0.0024833    -0.0004758
      229.58     0.0023187    -0.0005316
      229.60     0.0024938    -0.0006853
      229.63     0.0025577    -0.0006834
      229.65     0.0025292    -0.0005134
      229.68     0.0023015    -0.0008345
      229.70     0.0024934    -0.0008046
      229.73     0.0021594    -0.0006784
      229.75     0.0023455    -0.0006332
      229.78     0.0024397    -0.0007176
      229.80     0.0023918    -0.0009207
      229.83     0.0024774    -0.0006364
      229.85     0.0025264    -0.0007203
      229.88     0.0024579    -0.0008045
      229.90     0.0024093    -0.0008775
      229.93     0.0023942    -0.0007448
      229.95     0.0024211    -0.0007984
      229.98     0.0024437    -0.0008552
      230.01     0.0024225    -0.0008917
      230.03     0.0023954    -0.0008855
      230.06     0.0023618    -0.0009963
      230.08     0.0025061    -0.0008487
      230.11     0.0025317    -0.0008086
      230.13     0.0025683    -0.0008849
      230.16     0.0023569    -0.0008968
      230.18     0.0024448    -0.0009385
      230.21     0.0023908    -0.0009512
      230.23     0.0024299    -0.0010217
      230.26     0.0023924    -0.0009857
      230.28     0.0023956    -0.0010591
      230.31     0.0026107    -0.0010254
      230.33     0.0024102    -0.0010335
      230.36     0.0022345    -0.0008854
      230.38     0.0024842    -0.0010819
      230.41     0.0024798    -0.0010554
      230.43     0.0023942    -0.0011937
      230.46     0.0024562    -0.0010912
      230.48     0.0023630    -0.0011692
      230.51     0.0024204    -0.0011521
      230.53     0.0022639    -0.0011411
      230.56     0.0023907    -0.0011771
      230.59     0.0024943    -0.0011423
      230.61     0.0023431    -0.0012360
