   37.56 C
      frequency    real         imag
      250.00    -0.0006075    -0.0023024
      250.01    -0.0006583    -0.0023492
      250.02    -0.0006827    -0.0024599
      250.03    -0.0007557    -0.0023304
      250.04    -0.0007457    -0.0023620
      250.06    -0.0007565    -0.0024283
      250.07    -0.0004614    -0.0023820
      250.08    -0.0006874    -0.0024119
      250.09    -0.0006372    -0.0021148
      250.10    -0.0006564    -0.0024912
      250.11    -0.0006366    -0.0023272
      250.12    -0.0008334    -0.0023661
      250.13    -0.0006197    -0.0022533
      250.14    -0.0007322    -0.0023656
      250.15    -0.0005892    -0.0021497
      250.17    -0.0008444    -0.0022732
      250.18    -0.0006798    -0.0022395
      250.19    -0.0007569    -0.0022693
      250.20    -0.0008696    -0.0023635
      250.21    -0.0007404    -0.0023750
      250.22    -0.0007462    -0.0022694
      250.23    -0.0008351    -0.0024336
      250.24    -0.0005708    -0.0024842
      250.25    -0.0006143    -0.0023618
      250.26    -0.0006524    -0.0023321
      250.28    -0.0005921    -0.0024473
      250.29    -0.0007570    -0.0022868
      250.30    -0.0006996    -0.0024379
      250.31    -0.0006307    -0.0023505
      250.32    -0.0006241    -0.0024018
      250.33    -0.0006593    -0.0022616
      250.34    -0.0008018    -0.0022649
      250.35    -0.0006340    -0.0022463
      250.36    -0.0006716    -0.0023242
      250.37    -0.0006465    -0.0023401
      250.39    -0.0005474    -0.0022856
      250.40    -0.0007321    -0.0022899
      250.41    -0.0006665    -0.0024027
      250.42    -0.0006626    -0.0025362
      250.43    -0.0006542    -0.0022537
      250.44    -0.0007989    -0.0025785
      250.45    -0.0006571    -0.0023664
      250.46    -0.0006698    -0.0023651
      250.47    -0.0007478    -0.0024334
      250.48    -0.0008262    -0.0023879
      250.50    -0.0005952    -0.0024669
      250.51    -0.0008498    -0.0023038
      250.52    -0.0006401    -0.0023592
      250.53    -0.0006582    -0.0024454
      250.54    -0.0007023    -0.0023024
      250.55    -0.0006500    -0.0024779
      250.56    -0.0005661    -0.0024704
      250.57    -0.0006099    -0.0022877
      250.58    -0.0007545    -0.0024388
      250.59    -0.0008122    -0.0023722
      250.61    -0.0007763    -0.0023180
      250.62    -0.0006935    -0.0024703
      250.63    -0.0007096    -0.0024379
      250.64    -0.0007033    -0.0025657
      250.65    -0.0006260    -0.0024717
      250.66    -0.0006321    -0.0023865
      250.67    -0.0007671    -0.0025520
      250.68    -0.0006590    -0.0023002
      250.69    -0.0008458    -0.0024201
      250.70    -0.0006294    -0.0022723
      250.72    -0.0008618    -0.0025311
      250.73    -0.0006448    -0.0024857
      250.74    -0.0008666    -0.0024806
      250.75    -0.0008268    -0.0023251
      250.76    -0.0006933    -0.0023798
      250.77    -0.0009847    -0.0026363
      250.78    -0.0008352    -0.0023709
      250.79    -0.0007693    -0.0022936
      250.80    -0.0006551    -0.0023750
      250.81    -0.0009293    -0.0025124
      250.83    -0.0007048    -0.0023246
      250.84    -0.0008429    -0.0023462
      250.85    -0.0007459    -0.0023390
      250.86    -0.0007715    -0.0023399
      250.87    -0.0010107    -0.0025083
      250.88    -0.0006158    -0.0024107
      250.89    -0.0008448    -0.0022556
      250.90    -0.0007690    -0.0023363
      250.91    -0.0008956    -0.0024669
      250.92    -0.0007113    -0.0023750
      250.94    -0.0008851    -0.0023802
      250.95    -0.0006649    -0.0025431
      250.96    -0.0008201    -0.0024883
      250.97    -0.0007774    -0.0024877
      250.98    -0.0008612    -0.0024528
      250.99    -0.0010493    -0.0024758
      251.00    -0.0007537    -0.0024779
      251.01    -0.0008134    -0.0022645
      251.02    -0.0008653    -0.0025816
      251.03    -0.0008571    -0.0024461
      251.05    -0.0007347    -0.0023272
      251.06    -0.0009111    -0.0024125
      251.07    -0.0009126    -0.0022871
      251.08    -0.0009134    -0.0023375
      251.09    -0.0008952    -0.0023372
      251.10    -0.0009221    -0.0024228
      251.11    -0.0008760    -0.0023922
      251.12    -0.0008896    -0.0022876
      251.13    -0.0008792    -0.0022863
      251.14    -0.0008490    -0.0023743
      251.16    -0.0009631    -0.0024674
      251.17    -0.0008845    -0.0024545
      251.18    -0.0009820    -0.0023778
      251.19    -0.0007555    -0.0024575
      251.20    -0.0008492    -0.0023943
      251.21    -0.0009682    -0.0023677
      251.22    -0.0006956    -0.0022696
      251.23    -0.0007716    -0.0022515
      251.24    -0.0009835    -0.0024496
      251.25    -0.0010107    -0.0024525
      251.27    -0.0008064    -0.0024529
      251.28    -0.0007760    -0.0023697
      251.29    -0.0009898    -0.0023441
      251.30    -0.0007142    -0.0022890
      251.31    -0.0009110    -0.0023646
      251.32    -0.0009181    -0.0023929
      251.33    -0.0011621    -0.0023977
      251.34    -0.0009366    -0.0021874
      251.35    -0.0009360    -0.0024352
      251.36    -0.0008004    -0.0022498
      251.38    -0.0009847    -0.0023933
      251.39    -0.0009294    -0.0023458
      251.40    -0.0009800    -0.0023053
      251.41    -0.0009586    -0.0026011
      251.42    -0.0008972    -0.0023250
      251.43    -0.0010311    -0.0023270
      251.44    -0.0008732    -0.0023065
      251.45    -0.0009506    -0.0024266
      251.46    -0.0008915    -0.0022172
      251.47    -0.0009757    -0.0022373
      251.49    -0.0009802    -0.0022383
      251.50    -0.0007812    -0.0023458
      251.51    -0.0010781    -0.0023534
      251.52    -0.0008891    -0.0023471
      251.53    -0.0010903    -0.0024056
      251.54    -0.0008037    -0.0023352
      251.55    -0.0009184    -0.0023451
      251.56    -0.0009247    -0.0024029
      251.57    -0.0007213    -0.0023951
      251.58    -0.0010345    -0.0023166
      251.60    -0.0009865    -0.0024765
      251.61    -0.0010368    -0.0023407
      251.62    -0.0009476    -0.0025621
      251.63    -0.0008374    -0.0022300
      251.64    -0.0008824    -0.0022048
      251.65    -0.0007988    -0.0022269
      251.66    -0.0008344    -0.0023558
      251.67    -0.0008139    -0.0022990
      251.68    -0.0009252    -0.0022801
      251.69    -0.0007735    -0.0023446
      251.71    -0.0009791    -0.0023558
      251.72    -0.0008080    -0.0022826
      251.73    -0.0010089    -0.0023486
      251.74    -0.0007783    -0.0022870
